Customer_ID,Gender,Age,Region,Marketing_Channel,Contract_Type,Payment_Method,Plan,Internet_Service,Support_Tier,Tenure_Months,Monthly_Charges,Total_Charges,Data_Usage_GB_30d,Voice_Minutes_30d,Dropped_Calls_30d,Avg_Download_Mbps,Latency_ms,Support_Calls_90d,Complaints_12m,Has_Discount,Discount_Pct,Customer_Support_Notes,Churn_30d
CUST_000016,Male,41,East,Paid Search,Month-to-month,Credit card,Standard,DSL,Standard,63,69.3,4272.14,,785,0,37.2,56.0,1,0,0,0.0,Account stable; no issues reported. Feedback recorded.,0
CUST_000017,Male,41,East,Social,Two year,Credit card,Standard,Fibre,Priority,30,85.28,2482.67,305.5,508,1,212.6,37.0,1,1,1,24.9,All services working as expected; thank you note received. Routine follow-up in 30 days.,0
CUST_000018,Female,62,West,Paid Search,One year,Credit card,Basic,Fibre,Priority,49,65.79,3142.3,144.7,493,1,183.6,17.0,2,0,1,14.8,No recent problems; user happy with plan. Routine follow-up in 30 days.,0
CUST_000019,Male,19,West,Paid Search,Month-to-month,Direct debit,Premium,5G_FWA,Standard,57,91.16,5127.52,112.6,436,1,94.6,51.0,2,2,0,0.0,Account stable; no issues reported. Feedback recorded.,0
CUST_000020,Male,43,East,Organic,Two year,Credit card,Standard,Fibre,Standard,66,70.89,4527.78,326.7,655,1,231.9,8.0,2,0,0,0.0,No recent problems; user happy with plan. Routine follow-up in 30 days.,0
CUST_000021,Female,39,West,Paid Search,Month-to-month,Direct debit,Standard,Fibre,Priority,58,84.62,4814.76,330.9,885,3,323.8,25.0,2,1,1,13.1,Customer satisfied with service; routine check completed. Feedback recorded.,0
CUST_000022,Female,43,West,Social,Month-to-month,Credit card,Basic,Fibre,Priority,55,64.28,3504.22,,743,0,286.0,20.0,1,0,1,14.0,Account stable; no issues reported. Routine follow-up in 30 days.,0
CUST_000023,Male,22,West,Organic,Month-to-month,Direct debit,Standard,Fibre,Standard,5,71.19,329.72,273.9,332,0,308.5,16.0,1,0,0,0.0,All services working as expected; thank you note received. Routine follow-up in 30 days.,1
CUST_000024,Male,36,West,Partner,Month-to-month,Direct debit,Premium,5G_FWA,Standard,3,85.85,335.27,229.6,825,3,73.6,11.0,0,1,1,13.2,All services working as expected; thank you note received. Feedback recorded.,1
CUST_000025,Female,38,North,Organic,One year,Direct debit,Basic,Fibre,Priority,63,52.84,3317.64,303.2,504,1,165.2,19.0,0,1,1,11.6,Account stable; no issues reported. Continue monitoring.,0
CUST_000026,Female,48,North,Social,Month-to-month,Direct debit,Basic,DSL,Standard,48,41.93,2121.01,45.3,0,0,40.1,23.0,1,0,0,0.0,Account stable; no issues reported. Routine follow-up in 30 days.,0
CUST_000027,Female,41,West,Paid Search,One year,Credit card,Premium,Fibre,Priority,60,109.25,6479.53,223.8,161,0,174.2,19.0,0,0,1,14.6,No recent problems; user happy with plan. Continue monitoring.,0
CUST_000028,Male,50,East,Organic,One year,Direct debit,Standard,5G_FWA,Priority,55,72.84,4161.02,128.6,421,0,161.1,38.0,0,0,1,12.9,No recent problems; user happy with plan. Feedback recorded.,0
CUST_000029,Male,54,North,Referral,One year,Credit card,Basic,Fibre,Standard,18,55.75,912.08,324.0,700,0,178.8,22.0,1,1,0,0.0,All services working as expected; thank you note received. No action required.,0
CUST_000030,Male,44,West,Social,Month-to-month,Direct debit,Premium,None,Standard,15,81.95,1006.61,144.8,680,1,3.5,96.0,1,0,1,14.6,All services working as expected; thank you note received. Routine follow-up in 30 days.,0
CUST_000031,Male,20,South,Paid Search,Month-to-month,Direct debit,Basic,Fibre,Standard,43,50.57,2079.9,254.8,472,1,205.9,29.0,2,2,0,0.0,No recent problems; user happy with plan. No action required.,0
CUST_000032,Male,31,South,Organic,Two year,Bank transfer,Standard,DSL,Standard,50,62.43,3066.72,215.6,518,0,48.4,22.0,3,1,0,0.0,Customer satisfied with service; routine check completed. No action required.,0
CUST_000033,Female,35,West,Organic,Month-to-month,Direct debit,Premium,DSL,Standard,43,71.55,,167.5,572,0,41.2,35.0,1,0,0,0.0,No recent problems; user happy with plan. No action required.,1
CUST_000034,Male,55,East,Paid Search,Two year,Direct debit,Basic,DSL,Standard,67,41.09,2784.71,102.9,501,2,27.1,16.0,3,3,1,8.4,No recent problems; user happy with plan. Continue monitoring.,0
CUST_000035,Male,18,North,Partner,Month-to-month,Direct debit,Premium,Fibre,Standard,15,89.82,1258.84,260.1,327,1,335.9,14.0,3,0,0,0.0,All services working as expected; thank you note received. No action required.,0
CUST_000036,Female,40,North,Referral,One year,Direct debit,Standard,Fibre,Standard,11,71.22,843.81,313.7,217,0,272.2,19.0,0,0,0,0.0,No recent problems; user happy with plan. Routine follow-up in 30 days.,0
CUST_000037,Male,28,West,Paid Search,Two year,Bank transfer,Basic,Fibre,Standard,28,52.21,1590.74,345.6,381,0,132.1,24.0,1,1,0,0.0,Customer satisfied with service; routine check completed. Routine follow-up in 30 days.,0
CUST_000038,Male,18,North,Organic,Month-to-month,Direct debit,Premium,5G_FWA,Priority,28,90.41,2686.62,200.0,0,0,132.8,31.0,0,0,0,0.0,Customer satisfied with service; routine check completed. Continue monitoring.,0
CUST_000039,Female,43,West,Organic,One year,Bank transfer,Standard,5G_FWA,Standard,59,78.65,4463.6,171.0,396,1,187.8,30.0,4,2,1,10.0,All services working as expected; thank you note received. Routine follow-up in 30 days.,0
CUST_000040,Male,46,North,Referral,Two year,Direct debit,Standard,Fibre,Standard,5,62.95,398.89,243.3,844,4,223.3,23.0,1,0,1,10.3,All services working as expected; thank you note received. No action required.,0
CUST_000041,Female,33,South,Paid Search,Two year,Credit card,Basic,None,Standard,24,28.06,556.3,102.4,129,0,8.1,60.0,1,1,0,0.0,Account stable; no issues reported. Continue monitoring.,0
CUST_000042,Male,21,West,Paid Search,Two year,Direct debit,Premium,DSL,Standard,45,87.98,4145.49,177.4,683,1,61.9,51.0,3,0,1,11.4,All services working as expected; thank you note received. Continue monitoring.,0
CUST_000043,Female,50,South,Partner,Month-to-month,Direct debit,Standard,5G_FWA,Standard,45,71.71,3061.54,185.6,706,2,178.4,41.0,1,1,1,10.5,Account stable; no issues reported. Feedback recorded.,0
CUST_000044,Male,40,South,Partner,Two year,Direct debit,Premium,5G_FWA,Standard,55,84.95,4577.2,361.3,310,1,49.3,45.0,1,1,0,0.0,No recent problems; user happy with plan. Feedback recorded.,0
CUST_000045,Female,22,South,Partner,Month-to-month,Credit card,Standard,DSL,Standard,12,44.91,562.9,37.1,644,1,52.7,52.0,2,0,1,18.6,All services working as expected; thank you note received. Routine follow-up in 30 days.,1
CUST_000046,Female,18,South,Social,Month-to-month,Direct debit,Standard,DSL,Standard,32,54.11,1605.52,84.6,354,0,56.1,50.0,1,1,1,23.2,Account stable; no issues reported. No action required.,1
CUST_000047,Female,38,East,Organic,Month-to-month,Direct debit,Premium,Fibre,Standard,23,95.26,2417.22,261.9,721,1,155.5,11.0,3,3,1,10.3,Account stable; no issues reported. Feedback recorded.,0
CUST_000048,Female,37,North,Partner,Two year,Direct debit,Premium,Fibre,Standard,50,87.97,4378.49,379.4,485,0,231.9,11.0,3,4,1,17.4,Account stable; no issues reported. No action required.,0
CUST_000049,Male,36,West,Partner,One year,Credit card,Basic,Fibre,Standard,29,51.69,1277.57,232.6,656,0,214.4,18.0,1,1,1,14.6,All services working as expected; thank you note received. No action required.,0
CUST_000050,Female,54,West,Organic,Month-to-month,Direct debit,Standard,Fibre,Standard,31,80.77,2547.56,311.6,131,0,223.6,36.0,2,0,0,0.0,All services working as expected; thank you note received. No action required.,0
CUST_000051,Female,27,North,Organic,Month-to-month,Direct debit,Premium,DSL,Standard,11,86.44,981.06,87.1,347,0,27.8,49.0,1,0,0,0.0,All services working as expected; thank you note received. No action required.,0
CUST_000052,Female,40,North,Paid Search,Month-to-month,Direct debit,Standard,DSL,Priority,34,69.13,2500.91,57.0,838,2,36.1,35.0,1,0,0,0.0,No recent problems; user happy with plan. Feedback recorded.,0
CUST_000053,Female,41,East,Organic,One year,Cash,Standard,Fibre,Standard,12,70.2,969.45,263.0,565,3,248.8,20.0,0,0,1,17.9,All services working as expected; thank you note received. No action required.,0
CUST_000054,Female,28,West,Paid Search,One year,Direct debit,Premium,None,Standard,15,66.82,1014.99,80.2,906,0,9.1,52.0,0,0,1,6.9,No recent problems; user happy with plan. Routine follow-up in 30 days.,0
CUST_000055,Male,26,North,Organic,Month-to-month,Direct debit,Standard,Fibre,Standard,33,77.41,2431.58,245.1,628,2,266.3,21.0,2,0,0,0.0,No recent problems; user happy with plan. No action required.,0
CUST_000056,Female,58,South,Organic,Month-to-month,Credit card,Standard,DSL,Standard,63,65.24,4113.47,135.8,484,0,61.0,33.0,1,0,1,16.0,Customer satisfied with service; routine check completed. Routine follow-up in 30 days.,0
CUST_000057,Male,36,North,Referral,Month-to-month,Direct debit,Standard,DSL,Standard,6,62.59,442.85,87.9,313,1,,53.0,1,1,0,0.0,Account stable; no issues reported. Continue monitoring.,1
CUST_000058,Male,47,North,Organic,Two year,Bank transfer,Standard,DSL,Standard,36,81.6,3126.03,53.1,415,0,52.3,31.0,1,0,0,0.0,No recent problems; user happy with plan. Continue monitoring.,0
CUST_000059,Female,18,South,Paid Search,Month-to-month,Direct debit,Premium,Fibre,Standard,33,87.96,3142.58,256.8,850,2,223.8,21.0,0,0,1,11.1,Account stable; no issues reported. No action required.,0
CUST_000060,Male,31,North,Referral,Month-to-month,Credit card,Premium,DSL,Standard,47,79.67,3714.01,75.7,418,1,39.7,48.0,2,3,1,24.6,All services working as expected; thank you note received. Feedback recorded.,0
CUST_000061,Male,38,South,Organic,Month-to-month,Bank transfer,Premium,DSL,Standard,18,81.27,1532.36,253.8,50,0,60.0,39.0,0,0,0,0.0,Customer satisfied with service; routine check completed. Feedback recorded.,0
CUST_000062,Male,25,West,Paid Search,Month-to-month,Bank transfer,Premium,None,Priority,45,73.58,3103.84,95.4,153,0,3.6,57.0,2,1,0,0.0,All services working as expected; thank you note received. Feedback recorded.,0
CUST_000063,Male,47,East,Social,Two year,Credit card,Standard,Fibre,Priority,14,86.95,1288.13,268.9,670,1,164.3,15.0,1,0,1,15.2,Customer satisfied with service; routine check completed. Feedback recorded.,0
CUST_000064,Female,48,South,Paid Search,Month-to-month,Credit card,Basic,DSL,Standard,21,41.52,855.76,112.6,593,1,43.6,37.0,2,2,0,0.0,Account stable; no issues reported. Continue monitoring.,0
CUST_000065,Female,21,South,Referral,Month-to-month,Bank transfer,Standard,DSL,Standard,34,59.14,1790.04,151.1,415,0,25.8,68.0,2,0,0,0.0,All services working as expected; thank you note received. Routine follow-up in 30 days.,0
CUST_000066,Female,55,West,Organic,Month-to-month,Direct debit,Standard,DSL,Standard,13,55.13,828.26,175.8,897,0,88.3,33.0,0,0,0,0.0,Account stable; no issues reported. Continue monitoring.,1
CUST_000067,Female,52,East,Paid Search,Month-to-month,Credit card,Premium,5G_FWA,Priority,12,98.07,1089.32,231.6,399,2,134.9,23.0,1,0,0,0.0,All services working as expected; thank you note received. No action required.,1
CUST_000068,Male,31,South,Paid Search,Two year,Credit card,Premium,Fibre,Standard,67,102.07,6890.7,342.1,609,2,297.0,17.0,3,0,1,19.2,No recent problems; user happy with plan. Routine follow-up in 30 days.,0
CUST_000069,Male,32,South,Referral,Two year,Direct debit,Basic,Fibre,Standard,26,62.75,1491.95,247.5,561,1,219.6,19.0,1,0,0,0.0,All services working as expected; thank you note received. Feedback recorded.,0
CUST_000070,Female,57,North,Partner,One year,Direct debit,Premium,5G_FWA,Priority,71,91.94,6551.36,255.2,851,1,213.2,36.0,0,0,1,19.2,All services working as expected; thank you note received. No action required.,0
CUST_000071,Female,52,South,Organic,One year,Credit card,Standard,Fibre,Standard,40,75.16,2880.23,230.6,323,0,144.5,13.0,0,0,1,18.4,Customer satisfied with service; routine check completed. Feedback recorded.,0
CUST_000072,Male,37,North,Social,One year,Bank transfer,Premium,Fibre,Standard,16,96.14,1680.85,264.7,564,0,145.8,20.0,1,0,0,0.0,Customer satisfied with service; routine check completed. Feedback recorded.,0
CUST_000073,Female,20,North,Paid Search,One year,Credit card,Basic,5G_FWA,Standard,37,51.07,2016.16,204.3,368,2,198.0,30.0,2,1,0,0.0,Account stable; no issues reported. Feedback recorded.,0
CUST_000074,Male,52,North,Social,Month-to-month,Credit card,Basic,Fibre,Priority,23,53.5,1267.0,247.4,605,0,344.1,20.0,2,0,0,0.0,Customer satisfied with service; routine check completed. Feedback recorded.,0
CUST_000075,Female,36,North,Organic,Month-to-month,Credit card,Premium,Fibre,Standard,57,94.69,5275.41,287.2,358,0,309.9,11.0,1,0,0,0.0,Account stable; no issues reported. Feedback recorded.,1
CUST_000076,Female,30,South,Referral,One year,Direct debit,Standard,5G_FWA,Priority,60,76.11,4441.43,226.0,473,0,128.6,37.0,3,1,0,0.0,Customer satisfied with service; routine check completed. Continue monitoring.,0
CUST_000077,Male,34,North,Partner,One year,Credit card,Standard,Fibre,Standard,8,67.99,698.95,224.0,452,2,178.4,11.0,1,2,0,0.0,No recent problems; user happy with plan. Feedback recorded.,0
CUST_000078,Male,25,South,Partner,Two year,Credit card,Premium,Fibre,Standard,11,98.62,1324.73,194.6,661,2,163.5,21.0,3,1,0,0.0,All services working as expected; thank you note received. No action required.,0
CUST_000079,Female,59,East,Paid Search,Month-to-month,Direct debit,Premium,Fibre,Standard,70,102.14,7410.13,308.4,924,1,255.3,15.0,0,0,0,0.0,Account stable; no issues reported. Continue monitoring.,1
CUST_000080,Female,20,East,Organic,Two year,Bank transfer,Standard,None,Standard,17,49.49,1119.5,0.0,673,1,3.5,50.0,1,0,0,0.0,Customer satisfied with service; routine check completed. No action required.,0
CUST_000081,Female,58,North,Paid Search,Month-to-month,Direct debit,Premium,DSL,Standard,62,87.34,5307.64,90.0,444,1,56.9,32.0,2,1,1,11.2,Customer satisfied with service; routine check completed. Feedback recorded.,0
CUST_000082,Male,57,North,Organic,Month-to-month,Credit card,Premium,DSL,Standard,14,75.4,818.99,101.3,661,0,63.4,,2,0,0,0.0,Customer satisfied with service; routine check completed. No action required.,0
CUST_000083,Female,34,South,Paid Search,Two year,Bank transfer,Standard,5G_FWA,Standard,43,64.02,2768.26,32.7,662,0,136.5,31.0,0,0,1,9.5,No recent problems; user happy with plan. No action required.,0
CUST_000084,Female,41,North,Organic,Month-to-month,Direct debit,Standard,Fibre,Standard,14,72.32,1119.25,350.3,515,2,305.5,27.0,1,1,0,0.0,No recent problems; user happy with plan. Continue monitoring.,0
CUST_000085,Female,38,North,Referral,Month-to-month,Direct debit,Standard,Fibre,Standard,41,66.63,2698.98,234.1,354,0,199.6,12.0,0,0,1,22.5,Customer satisfied with service; routine check completed. Routine follow-up in 30 days.,0
CUST_000086,Male,34,West,Organic,Month-to-month,Direct debit,Standard,Fibre,Standard,53,71.47,3660.49,188.2,637,1,182.4,16.0,4,0,0,0.0,All services working as expected; thank you note received. Routine follow-up in 30 days.,0
CUST_000087,Male,34,South,Paid Search,Month-to-month,Bank transfer,Standard,Fibre,Standard,67,85.48,5819.51,289.1,779,5,177.0,11.0,2,1,1,18.2,Account stable; no issues reported. Feedback recorded.,0
CUST_000088,Female,31,North,Paid Search,Month-to-month,Credit card,Standard,Fibre,Standard,40,78.3,3064.56,384.3,740,2,243.2,31.0,0,0,0,0.0,All services working as expected; thank you note received. Feedback recorded.,0
CUST_000089,Male,43,East,Paid Search,Month-to-month,Direct debit,Premium,Fibre,Standard,37,89.61,3303.91,269.2,706,1,243.7,5.0,3,0,1,11.5,All services working as expected; thank you note received. Continue monitoring.,0
CUST_000090,Female,29,South,Organic,One year,Bank transfer,Standard,5G_FWA,Priority,63,78.21,4987.42,79.2,732,2,37.8,40.0,2,0,1,9.5,Customer satisfied with service; routine check completed. No action required.,0
CUST_000091,Male,32,West,Social,Month-to-month,Direct debit,Basic,DSL,Standard,49,51.13,2485.13,124.5,168,0,39.9,23.0,0,0,0,0.0,All services working as expected; thank you note received. Feedback recorded.,0
CUST_000092,Male,25,North,Paid Search,Month-to-month,Credit card,Premium,Fibre,Priority,21,117.66,2421.53,402.5,781,2,193.8,32.0,4,1,1,10.0,Account stable; no issues reported. No action required.,0
CUST_000093,Male,46,North,Paid Search,Month-to-month,Direct debit,Basic,Fibre,Standard,27,53.28,1285.58,247.4,398,0,258.2,17.0,0,1,0,0.0,No recent problems; user happy with plan. Routine follow-up in 30 days.,0
CUST_000094,Female,40,West,Organic,Month-to-month,Direct debit,Standard,Fibre,Standard,25,78.84,1890.33,294.9,467,1,283.4,9.0,0,0,1,8.4,No recent problems; user happy with plan. Routine follow-up in 30 days.,0
CUST_000095,Female,48,West,Paid Search,Month-to-month,Direct debit,Premium,DSL,Standard,18,86.14,1627.01,194.1,490,0,43.0,49.0,0,0,0,0.0,No recent problems; user happy with plan. Feedback recorded.,0
CUST_000096,Female,42,West,Organic,Month-to-month,Credit card,Premium,Fibre,Standard,22,96.22,2042.1,312.0,370,0,247.7,10.0,2,2,1,16.9,Customer satisfied with service; routine check completed. Routine follow-up in 30 days.,0
CUST_000097,Female,25,West,Organic,Month-to-month,Cash,Standard,DSL,Standard,69,65.79,4759.19,63.5,578,3,58.6,48.0,1,1,1,21.2,No recent problems; user happy with plan. Continue monitoring.,0
CUST_000098,Male,66,North,Organic,Month-to-month,Credit card,Premium,DSL,Priority,40,93.37,3697.0,199.1,255,0,47.5,42.0,0,0,0,0.0,Customer satisfied with service; routine check completed. Routine follow-up in 30 days.,0
CUST_000099,Female,30,West,Organic,Month-to-month,Direct debit,Premium,Fibre,Standard,53,78.29,4090.08,381.8,675,2,180.8,28.0,2,0,0,0.0,Account stable; no issues reported. Routine follow-up in 30 days.,0
CUST_000100,Female,45,North,Paid Search,Month-to-month,Direct debit,Standard,Fibre,Standard,45,74.54,3222.05,189.0,578,3,214.6,12.0,0,0,0,0.0,All services working as expected; thank you note received. Feedback recorded.,0
CUST_000101,Male,50,South,Referral,Month-to-month,Credit card,Premium,Fibre,Standard,63,86.14,5431.76,309.1,729,1,173.0,21.0,5,2,1,12.5,Customer satisfied with service; routine check completed. Routine follow-up in 30 days.,0
CUST_000102,Female,21,South,Partner,One year,Direct debit,Standard,DSL,Standard,58,60.27,3480.95,172.6,725,1,43.1,50.0,1,3,1,5.2,No recent problems; user happy with plan. No action required.,0
CUST_000103,Male,29,South,Paid Search,One year,Bank transfer,Premium,Fibre,Standard,44,90.24,4040.74,243.3,554,1,254.3,17.0,1,1,0,0.0,No recent problems; user happy with plan. No action required.,0
CUST_000104,Female,64,East,Referral,Month-to-month,Direct debit,Standard,Fibre,Standard,0,79.88,5.59,296.7,431,0,242.6,16.0,0,0,1,21.9,No recent problems; user happy with plan. Feedback recorded.,0
CUST_000105,Female,21,North,Organic,Month-to-month,Direct debit,Basic,Fibre,Standard,66,67.19,4485.84,227.0,347,1,207.9,15.0,2,1,0,0.0,Account stable; no issues reported. Routine follow-up in 30 days.,0
CUST_000106,Male,36,East,Partner,One year,Credit card,Standard,5G_FWA,Standard,12,73.53,739.13,253.8,343,1,126.6,31.0,1,1,1,5.4,Account stable; no issues reported. Routine follow-up in 30 days.,0
CUST_000107,Male,39,South,Partner,Two year,Bank transfer,Premium,5G_FWA,Priority,10,103.37,1000.46,227.6,471,3,110.4,34.0,1,0,0,0.0,No recent problems; user happy with plan. No action required.,0
CUST_000108,Female,41,East,Partner,One year,Direct debit,Standard,Fibre,Standard,4,71.25,290.28,358.8,565,0,352.4,5.0,2,0,1,21.8,All services working as expected; thank you note received. Feedback recorded.,0
CUST_000109,Male,45,East,Organic,Month-to-month,Direct debit,Premium,5G_FWA,Standard,17,87.43,1364.17,127.3,105,0,98.8,28.0,1,0,0,0.0,Customer satisfied with service; routine check completed. Routine follow-up in 30 days.,0
CUST_000110,Female,33,North,Referral,Month-to-month,Credit card,Standard,Fibre,Standard,35,79.18,2666.42,153.0,349,0,174.4,7.0,0,0,0,0.0,No recent problems; user happy with plan. Routine follow-up in 30 days.,0
CUST_000111,Male,18,East,Social,Month-to-month,Credit card,Basic,Fibre,Standard,37,61.27,2253.42,231.0,776,2,206.9,16.0,1,0,0,0.0,No recent problems; user happy with plan. Continue monitoring.,0
CUST_000112,Female,63,North,Referral,Two year,Credit card,Premium,DSL,Standard,59,80.99,4855.53,220.7,583,0,36.2,20.0,1,2,1,23.2,All services working as expected; thank you note received. Feedback recorded.,0
CUST_000113,Female,34,South,Referral,Month-to-month,Credit card,Standard,5G_FWA,Standard,23,67.66,1707.21,202.4,576,0,81.3,56.0,2,4,1,15.9,No recent problems; user happy with plan. No action required.,0
CUST_000114,Female,19,East,Paid Search,Two year,Bank transfer,Premium,DSL,Standard,2,83.72,82.39,39.3,610,3,75.0,17.0,1,0,0,0.0,Customer satisfied with service; routine check completed. No action required.,0
CUST_000115,Female,47,West,Organic,One year,Direct debit,Basic,5G_FWA,Standard,57,59.86,,190.2,779,2,68.0,28.0,2,1,0,0.0,Account stable; no issues reported. Routine follow-up in 30 days.,0
CUST_000116,Female,18,West,Organic,Month-to-month,Credit card,Premium,Fibre,Priority,59,95.53,5685.75,307.3,390,0,203.7,19.0,2,0,0,0.0,All services working as expected; thank you note received. Continue monitoring.,0
CUST_000117,Male,42,West,Paid Search,One year,Credit card,Basic,DSL,Standard,55,47.72,2667.27,85.8,514,2,54.4,44.0,3,3,0,0.0,All services working as expected; thank you note received. No action required.,0
CUST_000118,Male,38,East,Partner,One year,Credit card,Premium,Fibre,Standard,70,94.85,6711.21,297.3,792,2,189.6,22.0,3,1,1,24.3,All services working as expected; thank you note received. Continue monitoring.,0
CUST_000119,Male,39,South,Social,Month-to-month,Direct debit,Standard,Fibre,Standard,17,69.72,1182.1,296.6,936,0,299.4,33.0,0,0,0,0.0,No recent problems; user happy with plan. Feedback recorded.,0
CUST_000120,Female,25,South,Organic,Month-to-month,Direct debit,Premium,Fibre,Standard,7,94.2,698.43,350.3,601,1,218.5,26.0,1,1,1,21.9,Customer satisfied with service; routine check completed. No action required.,0
CUST_000121,Male,32,South,Organic,One year,Direct debit,Premium,DSL,Standard,71,75.26,5342.14,146.2,275,1,48.1,21.0,0,0,0,0.0,All services working as expected; thank you note received. Feedback recorded.,0
CUST_000122,Male,34,South,Organic,Two year,Credit card,Standard,DSL,Standard,52,61.37,3206.96,111.7,335,1,75.3,36.0,1,0,0,0.0,Account stable; no issues reported. Feedback recorded.,0
CUST_000123,Male,25,South,Organic,One year,Credit card,Premium,5G_FWA,Standard,69,95.7,6512.19,212.4,151,0,138.0,,0,0,1,11.0,All services working as expected; thank you note received. Continue monitoring.,0
CUST_000124,Male,41,West,Paid Search,Two year,Credit card,Standard,Fibre,Standard,44,74.47,3280.62,323.1,700,0,273.9,15.0,1,1,0,0.0,Account stable; no issues reported. Feedback recorded.,0
CUST_000125,Female,46,East,Paid Search,Month-to-month,Credit card,Standard,Fibre,Standard,41,79.73,3209.37,178.0,519,1,154.4,23.0,2,0,1,22.2,No recent problems; user happy with plan. Continue monitoring.,0
CUST_000126,Female,56,West,Partner,One year,Bank transfer,Basic,Fibre,Standard,34,55.89,2014.72,207.0,591,0,276.6,23.0,0,0,1,19.1,All services working as expected; thank you note received. Feedback recorded.,0
CUST_000127,Female,39,West,Paid Search,One year,Credit card,Premium,Fibre,Priority,3,101.43,521.77,353.7,426,1,,12.0,0,0,1,9.5,All services working as expected; thank you note received. No action required.,0
CUST_000128,Male,56,East,Organic,Month-to-month,Credit card,Standard,Fibre,Standard,54,81.01,4535.54,225.1,1193,0,196.0,13.0,1,2,1,10.4,Account stable; no issues reported. Routine follow-up in 30 days.,1
CUST_000129,Female,36,North,Paid Search,One year,Direct debit,Standard,Fibre,Standard,62,85.18,5411.0,198.6,739,1,151.4,15.0,3,2,1,14.9,Customer satisfied with service; routine check completed. Continue monitoring.,0
CUST_000130,Female,27,South,Paid Search,Month-to-month,Direct debit,Basic,DSL,Standard,17,37.66,637.79,35.6,407,0,,42.0,3,2,0,0.0,Customer mentioned intermittent issues; advised restart and monitoring. Customer advised on next steps.,1
CUST_000131,Male,45,North,Referral,Month-to-month,Direct debit,Standard,DSL,Standard,2,78.45,113.32,148.2,644,2,37.9,38.0,0,0,0,0.0,Customer satisfied with service; routine check completed. Continue monitoring.,0
